ID,Code,Subject,School,classroom,course,schedule,Professor ,Professor Email,gender,RequiredSubject,TypeOfSubject,students,required,in-class subject
1,S2-2-1,German,University of Texas Dallas,C_18,2,12:00 AM,Shay Roberts,Shay_Roberts7957@famism.biz,Female,S1-3-564,Core,51,TRUE,TRUE
2,S3-9-2,Art,Dartmouth College,C_4,3,8:00 PM,Ellen Flanders,Ellen_Flanders3808@sveldo.biz,Female,S4-3-40,Core,54,TRUE,TRUE
3,S2-6-3,Art,University of Chicago,C_18,2,11:00 AM,Matthew Newton,Matthew_Newton3606@typill.biz,Male,S1-8-185,Optional,40,TRUE,TRUE
4,S1-8-4,American Literature,University of California,C_9,1,10:00 AM,Joseph Morgan,Joseph_Morgan6575@extex.org,Male,S1-1-10,Core,51,TRUE,TRUE
5,S2-6-5,English IV,Columbia University,C_3,2,1:00 PM,Russel Tait,Russel_Tait401@deons.tech,Male,S1-1-27,Core,41,FALSE,TRUE
6,S2-1-6,English IV,Rice University,C_7,2,5:00 PM,Maddison Morley,Maddison_Morley1391@cispeto.com,Female,S4-4-818,Optional,36,TRUE,TRUE
7,S3-4-7,Design and technology,University of Texas at Austin,C_4,3,4:00 PM,Lorraine Hopkinson,Lorraine_Hopkinson7596@gmail.com,Female,S2-10-51,Core,45,FALSE,TRUE
8,S4-8-8,French,Harvard University,C_13,4,11:00 AM,Jack Jenkin,Jack_Jenkin5513@elnee.tech,Male,S3-6-311,Core,50,FALSE,FALSE
9,S1-2-9,Design and technology,University of Virginia,C_7,1,6:00 PM,Erick Murphy,Erick_Murphy6077@cispeto.com,Male,S3-7-772,Core,39,FALSE,TRUE
10,S1-1-10,Resource Program,University of Virginia,C_19,1,6:00 PM,Ramon Ellis,Ramon_Ellis1184@dionrab.com,Male,S3-10-511,Core,31,TRUE,FALSE
11,S2-3-11,Basic Math,The New School,C_8,2,3:00 PM,Josh Blackburn,Josh_Blackburn1606@typill.biz,Male,S3-10-407,Core,57,TRUE,FALSE
12,S3-9-12,Leadership,University of Minnesota,C_3,3,12:00 AM,Carrie Lomax,Carrie_Lomax8277@zorer.org,Female,S2-6-863,Core,58,TRUE,TRUE
13,S4-9-13,Economics,Brown University,C_20,4,12:00 AM,Javier Quinn,Javier_Quinn5454@elnee.tech,Male,S2-1-6,Interdisciplinary,18,TRUE,FALSE
